City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
388,Carora,VE,87.42,overcast clouds,10.1755,-70.0827,Hotel Irpinia
391,Ternate,ID,79.63,moderate rain,0.8,127.4,Grand Dafam Bela Ternate
395,Caruray,PH,78.26,clear sky,10.3094,119.0128,
401,Monrovia,LR,78.8,few clouds,6.3005,-10.7969,Sunset Inn
402,Bhubaneswar,IN,80.6,haze,20.2333,85.8333,Hotel Pushpak
407,Umm Kaddadah,SD,75.79,broken clouds,13.6017,26.6876,
408,Kota Bahru,MY,77.0,scattered clouds,6.1333,102.2386,Grand Riverview Hotel
410,Key West,US,87.8,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
411,Basco,PH,76.75,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
412,Avera,US,78.8,scattered clouds,33.194,-82.5271,
417,Lafia,NG,84.09,light rain,8.4833,8.5167,Low Cost Housing Estate
418,Amarante Do Maranhao,BR,78.94,overcast clouds,-5.5667,-46.7422,Hotéis Caçulinha
421,Jimani,DO,86.0,scattered clouds,18.4917,-71.8502,HOTEL LA TORRE
424,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
425,Cayenne,GF,84.2,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
426,Canto Do Buriti,BR,86.34,overcast clouds,-8.11,-42.9444,Novo Hotel
431,Paraiso,CR,80.6,scattered clouds,9.8383,-83.8656,Rinconcito Verde
432,Coahuayana,MX,82.4,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
433,Uberaba,BR,84.2,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
434,Ati,TD,84.25,clear sky,13.2154,18.3353,
438,Cocorit,MX,82.4,broken clouds,27.5833,-109.9667,Kaba Motel
440,Bambanglipuro,ID,76.3,overcast clouds,-7.95,110.2833,Puri Brata
442,Vila Velha,BR,80.01,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
443,Pascagoula,US,82.0,clear sky,30.3658,-88.5561,Regency Inn
