City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Geraldton,AU,-28.7667,114.6,73.4,88,40,18.41,scattered clouds
110,San Cristobal,VE,7.7669,-72.225,89.6,51,40,11.5,scattered clouds
111,Cockburn Town,TC,21.4612,-71.1419,78.8,61,40,13.8,scattered clouds
112,Aklavik,CA,68.2191,-135.0107,8.6,36,13,4.61,few clouds
113,La Rioja,ES,42.25,-2.5,46.4,71,75,10.36,broken clouds
114,Nelson Bay,AU,-32.7167,152.15,52.0,62,20,11.5,few clouds
115,Ucluelet,CA,48.9329,-125.5528,48.99,66,20,6.91,few clouds
116,Dingle,PH,10.9995,122.6711,74.71,86,99,5.93,overcast clouds
117,Ewa Beach,US,21.3156,-158.0072,78.8,53,75,10.36,broken clouds
118,Georgetown,MY,5.4112,100.3354,81.0,94,40,3.44,scattered clouds
119,Kanye,BW,-24.9667,25.3327,65.35,40,0,1.83,clear sky
120,Port Alfred,ZA,-33.5906,26.891,66.58,91,96,3.71,overcast clouds
121,Praia,CV,14.9215,-23.5087,75.2,53,0,18.41,clear sky
122,Yerofey Pavlovich,RU,53.9667,121.9667,11.17,90,99,3.91,overcast clouds
123,Marzuq,YE,14.4,46.4667,66.47,59,3,6.22,clear sky
124,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,10.36,broken clouds
125,Narsaq,GL,60.9167,-46.05,50.0,29,0,11.5,clear sky
126,Hithadhoo,MV,-0.6,73.0833,82.67,75,94,11.01,overcast clouds
127,Pregradnoye,RU,45.8218,41.7469,48.11,91,100,2.01,light rain
128,Mar Del Plata,AR,-38.0023,-57.5575,66.2,63,20,6.91,few clouds
129,Katsuura,JP,35.1333,140.3,53.6,76,20,6.91,few clouds
130,Kyabe,TD,9.4515,18.9449,88.41,8,82,2.8,broken clouds
131,Margate,GB,51.3813,1.3862,39.0,70,96,1.01,overcast clouds
132,Wairoa,NZ,-39.0333,177.3667,64.0,97,79,1.99,broken clouds
133,Gunnedah,AU,-30.9833,150.25,43.0,75,0,1.01,clear sky
134,Puerto Escondido,MX,15.85,-97.0667,86.0,74,20,5.75,few clouds
135,Hokitika,NZ,-42.7167,170.9667,55.87,92,99,7.34,light rain
136,Birao,CF,10.2849,22.7882,82.49,12,100,6.04,overcast clouds
137,Ayame,CI,5.6083,-3.1563,77.92,91,36,4.54,light rain
138,New Norfolk,AU,-42.7826,147.0587,48.99,80,100,2.37,overcast clouds
139,Kruisfontein,ZA,-34.0033,24.7314,57.99,87,73,1.01,broken clouds
140,Bamiantong,CN,44.9333,130.5333,50.58,56,98,9.8,overcast clouds
141,Celestun,MX,20.8667,-90.4,84.09,71,1,14.16,clear sky
142,Malartic,CA,48.1335,-78.1328,72.0,35,75,13.8,broken clouds
143,Hirson,FR,49.9226,4.0826,35.01,82,30,1.01,scattered clouds
144,Alofi,NU,-19.0595,-169.9187,77.0,88,18,5.75,few clouds
145,Port Hardy,CA,50.6996,-127.4199,46.4,46,20,13.8,few clouds
146,Tambura,SS,5.6,27.4667,76.06,64,98,6.24,light rain
147,Bismarck,US,46.8083,-100.7837,44.6,57,90,19.57,light rain
148,Puerto Del Rosario,ES,28.5004,-13.8627,68.0,68,20,13.8,few clouds
149,Tiksi,RU,71.6872,128.8694,4.28,71,100,7.92,overcast clouds
150,Faanui,PF,-16.4833,-151.75,82.47,70,100,11.25,overcast clouds
151,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
152,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.8,69,0,6.91,clear sky
153,Ahome,MX,25.9167,-109.1833,87.01,39,75,11.5,broken clouds
154,Belfast,GB,54.5833,-5.9333,41.0,60,75,4.61,broken clouds
155,Bilibino,RU,68.0546,166.4372,-10.88,83,22,1.54,few clouds
156,Tuatapere,NZ,-46.1333,167.6833,50.0,98,86,1.99,overcast clouds
157,High Level,CA,58.5169,-117.136,23.0,63,40,8.05,light snow
158,San Juan,AR,-31.5375,-68.5364,76.03,17,0,6.82,clear sky
159,Castro,BR,-24.7911,-50.0119,68.38,67,13,3.87,few clouds
160,Petropolis,RU,59.8944,30.2642,43.0,49,0,6.71,light rain
161,Gwalior,IN,26.2236,78.1792,81.91,21,2,5.82,clear sky
162,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,13.8,scattered clouds
163,Mantsala,FI,60.6609,25.2838,42.8,45,20,8.05,few clouds
164,Kawalu,ID,-7.3817,108.2082,72.28,97,76,0.6,broken clouds
165,Hermanus,ZA,-34.4187,19.2345,64.99,79,100,5.01,overcast clouds
166,Shimoda,JP,34.6667,138.95,50.0,81,75,2.3,broken clouds
167,Adrar,MR,20.5022,-10.0711,82.17,16,28,12.21,scattered clouds
168,Caravelas,BR,-17.7125,-39.2481,76.1,79,17,5.59,few clouds
169,Kasongo-Lunda,CD,-6.4667,16.8167,70.99,96,89,0.76,overcast clouds
