City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Tarbert,GB,2021-04-11 15:59:31,55.8628,-5.4162,44.6,49,20,11.5
106,Florianopolis,BR,2021-04-11 15:59:32,-27.6146,-48.5012,84.99,65,0,16.11
107,Norman Wells,CA,2021-04-11 15:59:32,65.282,-126.8329,-16.6,76,1,2.3
108,Aktau,KZ,2021-04-11 15:59:32,43.65,51.2,73.4,16,0,13.42
109,Vao,NC,2021-04-11 15:59:33,-22.6667,167.4833,75.65,81,50,10.16
110,Hangu,CN,2021-04-11 15:59:33,39.2489,117.7892,55.0,76,100,4.47
111,Vaitape,PF,2021-04-11 15:59:33,-16.5167,-151.75,81.12,76,100,10.87
112,Chokurdakh,RU,2021-04-11 15:59:34,70.6333,147.9167,-19.82,99,52,7.54
113,Nerchinskiy Zavod,RU,2021-04-11 15:59:34,51.3088,119.61,26.64,32,100,10.6
114,Lompoc,US,2021-04-11 15:59:34,34.6391,-120.4579,48.2,93,100,5.75
115,Jalu,LY,2021-04-11 15:58:55,29.0331,21.5482,74.1,13,2,11.25
116,Kyotera,UG,2021-04-11 15:59:35,-0.6156,31.5175,67.95,83,100,5.08
117,Vaini,TO,2021-04-11 15:57:08,-21.2,-175.2,66.2,100,20,3.44
118,Ribeira Grande,PT,2021-04-11 15:59:35,38.5167,-28.7,62.6,94,75,9.22
119,Severo-Kurilsk,RU,2021-04-11 15:55:42,50.6789,156.125,27.97,78,42,10.02
120,Port Alfred,ZA,2021-04-11 15:59:35,-33.5906,26.891,69.31,90,97,7.2
121,Zhigansk,RU,2021-04-11 15:55:53,66.7697,123.3711,2.19,94,6,11.63
122,Airai,TL,2021-04-11 15:59:36,-8.9266,125.4092,58.06,89,66,1.45
123,Bubaque,GW,2021-04-11 15:57:27,11.2833,-15.8333,77.23,71,17,13.13
124,Yulara,AU,2021-04-11 15:57:55,-25.2406,130.9889,64.4,39,22,11.5
125,Malatya,TR,2021-04-11 15:59:36,38.5,38.0,48.2,61,75,11.5
126,Alice Springs,AU,2021-04-11 15:55:56,-23.7,133.8833,57.99,58,44,4.61
127,Upernavik,GL,2021-04-11 15:59:37,72.7868,-56.1549,30.38,75,100,6.93
128,Isangel,VU,2021-04-11 15:59:37,-19.55,169.2667,78.4,87,99,8.75
129,Khandwa,IN,2021-04-11 15:59:37,21.8333,76.3333,91.38,24,23,9.86
130,Sorong,ID,2021-04-11 15:55:24,-0.8833,131.25,81.41,76,95,5.53
131,Kapaa,US,2021-04-11 15:59:38,22.0752,-159.319,64.4,88,20,6.91
132,Raga,SS,2021-04-11 15:59:38,8.4596,25.678,93.83,11,100,3.74
133,Ambanja,MG,2021-04-11 15:59:38,-13.6833,48.45,82.4,90,75,2.3
134,Kundiawa,PG,2021-04-11 15:59:39,-6.0167,144.9667,62.1,99,100,1.45
135,Vagay,RU,2021-04-11 15:59:39,57.9375,69.0217,42.15,76,100,10.71
136,Bayir,TR,2021-04-11 15:57:51,37.2687,28.2167,64.4,22,0,12.66
137,Bethel,US,2021-04-11 15:55:42,41.3712,-73.414,60.8,82,90,3.44
138,Manono,CD,2021-04-11 15:59:39,-7.3,27.4167,76.5,77,100,2.68
139,Mariel,CU,2021-04-11 15:59:40,22.9875,-82.7536,84.2,65,40,13.8
140,Dikson,RU,2021-04-11 15:59:40,73.5069,80.5464,30.61,97,100,24.49
141,Torbay,CA,2021-04-11 15:59:40,47.6666,-52.7314,34.0,100,90,8.05
142,Narsaq,GL,2021-04-11 15:59:41,60.9167,-46.05,53.6,20,1,23.02
143,Buchanan,LR,2021-04-11 15:57:25,5.8808,-10.0467,84.65,70,100,9.51
144,Benjamin Constant,BR,2021-04-11 15:59:41,-4.3831,-70.0311,84.2,83,40,5.75
145,Sao Filipe,CV,2021-04-11 15:56:56,14.8961,-24.4956,76.89,61,1,4.34
146,Srednekolymsk,RU,2021-04-11 15:59:41,67.45,153.6833,-30.55,100,93,1.59
147,Aykhal,RU,2021-04-11 15:59:42,66.0,111.5,-5.24,78,32,4.43
